Date,Committee,Number of utterances made by the committees per month
"=""07-2001""",115,335
"=""07-2002""",115,202
"=""07-2003""",115,653
"=""07-2004""",115,267
"=""07-2005""",115,172
"=""07-2006""",115,0
"=""07-2007""",115,1088
"=""07-2008""",115,326
"=""07-2009""",115,467
"=""07-2010""",115,774
"=""07-2011""",115,870
"=""07-2012""",115,0
"=""08-1995""",115,0
"=""08-1996""",115,0
"=""08-1997""",115,0
"=""08-1998""",115,0
"=""08-1999""",115,0
"=""08-2000""",115,492
"=""08-2001""",115,149
"=""08-2002""",115,0
"=""08-2003""",115,0
"=""08-2004""",115,0
"=""08-2005""",115,0
"=""08-2006""",115,0
"=""08-2007""",115,116
"=""08-2008""",115,0
"=""08-2009""",115,0
"=""08-2010""",115,0
"=""08-2011""",115,0
"=""08-2012""",115,0
"=""09-1995""",115,0
"=""09-1996""",115,0
"=""09-1997""",115,0
"=""09-1998""",115,0
"=""09-1999""",115,182
"=""09-2000""",115,305
"=""09-2001""",115,432
"=""09-2002""",115,159
"=""09-2003""",115,226
"=""09-2004""",115,353
"=""09-2005""",115,0
"=""09-2006""",115,0
"=""09-2007""",115,138
"=""09-2008""",115,831
"=""09-2009""",115,0
"=""09-2010""",115,136
"=""09-2011""",115,551
"=""09-2012""",115,0
"=""10-1995""",115,0
"=""10-1996""",115,0
"=""10-1997""",115,0
"=""10-1998""",115,0
"=""10-1999""",115,0
"=""10-2000""",115,0
"=""10-2001""",115,0
"=""10-2002""",115,0
"=""10-2003""",115,347
"=""10-2004""",115,415
"=""10-2005""",115,150
"=""10-2006""",115,0
"=""10-2007""",115,908
"=""10-2008""",115,336
"=""10-2009""",115,210
"=""10-2010""",115,0
"=""10-2011""",115,0
"=""10-2012""",115,0
"=""11-1995""",115,0
"=""11-1996""",115,0
"=""11-1997""",115,0
"=""11-1998""",115,0
"=""11-1999""",115,0
"=""11-2000""",115,0
"=""11-2001""",115,105
"=""11-2002""",115,0
"=""11-2003""",115,0
"=""11-2004""",115,0
"=""11-2005""",115,0
"=""11-2006""",115,0
"=""11-2007""",115,89
